precipitation,date,temp_max,temp_min,wind,weather,year,month
0.0,2012-07-12,25.6,13.3,2.7,drizzle,2012,7
0.5,2012-07-13,23.3,13.9,2.2,rain,2012,7
0.0,2012-07-14,25.0,15.0,2.2,rain,2012,7
0.0,2012-07-15,18.9,13.3,3.8,rain,2012,7
0.3,2012-07-16,26.1,13.3,2.5,rain,2012,7
0.0,2012-07-17,21.7,15.0,2.6,sun,2012,7
0.0,2012-07-18,21.1,14.4,2.9,sun,2012,7
0.0,2012-07-19,25.0,14.4,2.2,sun,2012,7
15.2,2012-07-20,19.4,13.9,4.0,rain,2012,7
0.0,2012-07-21,23.9,13.9,2.3,sun,2012,7
1.0,2012-07-22,20.6,12.2,3.9,rain,2012,7
0.0,2012-07-23,18.9,11.1,3.3,rain,2012,7
0.0,2012-07-24,23.3,12.2,4.3,sun,2012,7
0.0,2012-07-25,26.7,12.8,2.6,sun,2012,7
0.0,2012-07-26,25.6,12.8,2.2,drizzle,2012,7
0.0,2012-07-27,18.9,13.9,2.8,drizzle,2012,7
0.0,2012-07-28,22.2,13.3,1.7,drizzle,2012,7
0.0,2012-07-29,22.8,15.0,2.0,sun,2012,7
0.0,2012-07-30,19.4,13.3,3.0,sun,2012,7
0.0,2012-07-31,22.8,13.9,2.8,sun,2012,7
0.0,2012-08-01,23.9,13.3,2.2,drizzle,2012,8
0.0,2012-08-02,23.3,12.2,2.5,sun,2012,8
0.0,2012-08-03,27.2,12.8,3.9,sun,2012,8
0.0,2012-08-04,33.9,16.7,3.7,sun,2012,8
0.0,2012-08-05,33.9,17.8,1.9,sun,2012,8
0.0,2012-08-06,28.3,15.6,2.5,rain,2012,8
0.0,2012-08-07,21.1,15.0,2.6,drizzle,2012,8
0.0,2012-08-08,22.2,15.0,3.1,sun,2012,8
0.0,2012-08-09,24.4,14.4,3.8,drizzle,2012,8
0.0,2012-08-10,25.6,12.2,2.3,sun,2012,8
0.0,2012-08-11,28.3,13.3,2.5,sun,2012,8
0.0,2012-08-12,30.6,15.0,3.0,sun,2012,8
0.0,2012-08-13,30.6,15.0,2.8,sun,2012,8
0.0,2012-08-14,28.9,13.9,2.8,sun,2012,8
0.0,2012-08-15,31.1,16.7,4.7,sun,2012,8
0.0,2012-08-16,34.4,18.3,2.8,sun,2012,8
0.0,2012-08-17,32.8,16.1,1.8,sun,2012,8
0.0,2012-08-18,21.7,14.4,3.0,drizzle,2012,8
0.0,2012-08-19,23.3,15.0,2.7,drizzle,2012,8
0.0,2012-08-20,25.6,15.0,1.9,sun,2012,8
0.0,2012-08-21,23.3,13.3,3.0,rain,2012,8
0.0,2012-08-22,22.2,13.3,2.3,sun,2012,8
0.0,2012-08-23,21.1,13.9,3.8,sun,2012,8
0.0,2012-08-24,22.2,10.0,3.3,sun,2012,8
0.0,2012-08-25,26.1,11.7,3.2,sun,2012,8
0.0,2012-08-26,21.1,12.2,3.4,sun,2012,8
0.0,2012-08-27,23.9,13.3,1.8,sun,2012,8
0.0,2012-08-28,22.8,12.2,3.2,sun,2012,8
0.0,2012-08-29,22.8,13.3,2.4,sun,2012,8
0.0,2012-08-30,22.8,12.8,1.9,sun,2012,8
0.0,2012-08-31,22.2,10.6,2.9,sun,2012,8
0.0,2012-09-01,21.7,10.6,2.1,sun,2012,9
0.0,2012-09-02,21.1,10.0,2.0,sun,2012,9
0.0,2012-09-03,22.8,12.8,3.3,sun,2012,9
0.0,2012-09-04,24.4,11.1,3.1,sun,2012,9
0.0,2012-09-05,26.1,11.7,2.6,sun,2012,9
0.0,2012-09-06,28.3,14.4,4.2,sun,2012,9
0.0,2012-09-07,32.2,13.3,3.1,sun,2012,9
0.0,2012-09-08,25.0,13.3,3.0,sun,2012,9
0.3,2012-09-09,18.9,13.9,5.0,rain,2012,9
0.3,2012-09-10,20.0,11.7,3.9,rain,2012,9
0.0,2012-09-11,20.0,8.9,4.2,sun,2012,9
0.0,2012-09-12,22.2,10.0,5.6,sun,2012,9
0.0,2012-09-13,27.8,11.7,3.6,sun,2012,9
0.0,2012-09-14,26.1,11.1,1.5,sun,2012,9
0.0,2012-09-15,22.2,11.1,1.9,sun,2012,9
0.0,2012-09-16,24.4,9.4,2.3,sun,2012,9
0.0,2012-09-17,27.8,11.7,2.2,fog,2012,9
0.0,2012-09-18,27.8,11.7,1.4,sun,2012,9
0.0,2012-09-19,23.9,11.7,1.9,drizzle,2012,9
0.0,2012-09-20,19.4,10.0,2.5,drizzle,2012,9
0.0,2012-09-21,16.1,12.8,2.1,drizzle,2012,9
0.3,2012-09-22,19.4,11.7,1.1,rain,2012,9
0.0,2012-09-23,19.4,10.0,1.4,fog,2012,9
0.0,2012-09-24,21.1,10.0,1.8,fog,2012,9
0.0,2012-09-25,19.4,11.1,1.7,sun,2012,9
0.0,2012-09-26,19.4,9.4,1.7,drizzle,2012,9
0.0,2012-09-27,22.8,10.0,1.7,drizzle,2012,9
0.0,2012-09-28,25.0,12.2,1.1,rain,2012,9
0.0,2012-09-29,20.6,12.2,4.3,sun,2012,9
0.0,2012-09-30,21.1,7.8,3.1,sun,2012,9
0.0,2012-10-01,23.3,8.9,3.0,sun,2012,10
0.0,2012-10-02,17.8,10.0,4.1,sun,2012,10
0.0,2012-10-03,18.9,7.8,7.3,sun,2012,10
0.0,2012-10-04,18.9,8.3,6.5,sun,2012,10
0.0,2012-10-05,21.7,8.9,5.7,sun,2012,10
0.0,2012-10-06,23.9,7.8,5.1,sun,2012,10
0.0,2012-10-07,23.9,7.8,1.3,sun,2012,10
0.0,2012-10-08,21.1,7.8,1.9,sun,2012,10
0.0,2012-10-09,16.1,8.9,1.6,drizzle,2012,10
0.0,2012-10-10,12.2,8.3,1.4,drizzle,2012,10
0.0,2012-10-11,13.9,7.2,1.3,drizzle,2012,10
2.0,2012-10-12,13.9,8.9,4.6,rain,2012,10
4.8,2012-10-13,15.6,12.2,3.9,rain,2012,10
16.5,2012-10-14,17.8,13.3,3.4,rain,2012,10
7.9,2012-10-15,17.2,11.1,4.6,rain,2012,10
0.0,2012-10-16,16.1,8.3,5.5,sun,2012,10
0.0,2012-10-17,14.4,6.1,1.6,sun,2012,10
20.8,2012-10-18,17.8,6.7,2.0,rain,2012,10
4.8,2012-10-19,15.0,9.4,5.3,rain,2012,10
0.5,2012-10-20,11.1,6.1,5.7,rain,2012,10
6.4,2012-10-21,11.7,4.4,2.7,rain,2012,10
8.9,2012-10-22,7.8,3.3,2.6,rain,2012,10
0.0,2012-10-23,11.1,5.6,3.0,rain,2012,10
7.1,2012-10-24,11.7,6.1,2.1,rain,2012,10
0.0,2012-10-25,11.7,6.7,1.5,sun,2012,10
1.5,2012-10-26,11.1,7.2,2.5,rain,2012,10
23.1,2012-10-27,14.4,9.4,5.1,rain,2012,10
6.1,2012-10-28,14.4,10.0,3.8,rain,2012,10
10.9,2012-10-29,15.6,10.0,4.9,rain,2012,10
34.5,2012-10-30,15.0,12.2,2.8,rain,2012,10
14.5,2012-10-31,15.6,11.1,2.7,rain,2012,10
9.7,2012-11-01,15.0,10.6,3.0,rain,2012,11
5.6,2012-11-02,15.0,10.6,1.0,rain,2012,11
0.5,2012-11-03,15.6,11.1,3.6,rain,2012,11
8.1,2012-11-04,17.8,12.8,3.8,rain,2012,11
0.8,2012-11-05,15.0,7.8,4.0,rain,2012,11
0.3,2012-11-06,12.8,6.7,3.5,rain,2012,11
0.0,2012-11-07,12.2,3.9,3.4,rain,2012,11
0.0,2012-11-08,10.0,1.1,3.4,rain,2012,11
0.0,2012-11-09,8.9,1.1,2.0,rain,2012,11
0.0,2012-11-10,7.8,-0.6,2.2,sun,2012,11
15.2,2012-11-11,8.9,1.1,3.0,rain,2012,11
3.6,2012-11-12,12.8,6.1,3.0,rain,2012,11
5.3,2012-11-13,11.1,7.8,2.5,rain,2012,11
0.8,2012-11-14,11.1,5.0,2.6,rain,2012,11
0.0,2012-11-15,9.4,2.8,2.4,drizzle,2012,11
5.6,2012-11-16,9.4,2.2,1.6,rain,2012,11
6.1,2012-11-17,12.2,6.1,5.3,rain,2012,11
7.9,2012-11-18,10.0,6.1,4.9,rain,2012,11
54.1,2012-11-19,13.3,8.3,6.0,rain,2012,11
3.8,2012-11-20,11.1,7.2,4.2,rain,2012,11
11.2,2012-11-21,8.3,3.9,5.5,rain,2012,11
0.0,2012-11-22,8.9,2.8,1.5,rain,2012,11
32.0,2012-11-23,9.4,6.1,2.4,rain,2012,11
0.0,2012-11-24,8.9,3.9,1.2,rain,2012,11
0.0,2012-11-25,8.3,1.1,3.6,drizzle,2012,11
0.0,2012-11-26,9.4,1.7,3.8,fog,2012,11
0.0,2012-11-27,10.0,1.7,1.5,sun,2012,11
2.8,2012-11-28,9.4,2.2,2.9,rain,2012,11
1.5,2012-11-29,12.8,7.8,4.2,rain,2012,11
35.6,2012-11-30,15.0,7.8,4.6,rain,2012,11
4.1,2012-12-01,13.3,8.3,5.5,rain,2012,12
19.6,2012-12-02,8.3,7.2,6.2,rain,2012,12
13.0,2012-12-03,9.4,7.2,4.4,rain,2012,12
14.2,2012-12-04,11.7,7.2,6.2,rain,2012,12
1.5,2012-12-05,8.9,4.4,5.0,rain,2012,12
1.5,2012-12-06,7.2,6.1,5.1,rain,2012,12
1.0,2012-12-07,7.8,3.3,4.6,rain,2012,12
0.0,2012-12-08,6.7,3.3,2.0,sun,2012,12
1.5,2012-12-09,6.7,2.8,2.1,rain,2012,12
0.5,2012-12-10,7.2,5.6,1.8,rain,2012,12
3.0,2012-12-11,7.8,5.6,4.5,rain,2012,12
8.1,2012-12-12,6.7,4.4,2.0,rain,2012,12
2.3,2012-12-13,7.2,3.3,2.8,rain,2012,12
7.9,2012-12-14,6.1,1.1,1.7,rain,2012,12
5.3,2012-12-15,4.4,0.6,5.1,snow,2012,12
22.6,2012-12-16,6.7,3.3,5.5,snow,2012,12
2.0,2012-12-17,8.3,1.7,9.5,rain,2012,12
3.3,2012-12-18,3.9,0.6,5.3,snow,2012,12
13.7,2012-12-19,8.3,1.7,5.8,snow,2012,12
13.2,2012-12-20,7.2,0.6,3.7,rain,2012,12
1.8,2012-12-21,8.3,-1.7,1.7,rain,2012,12
3.3,2012-12-22,8.3,3.9,3.5,rain,2012,12
6.6,2012-12-23,7.2,3.3,2.5,rain,2012,12
0.3,2012-12-24,5.6,2.8,2.8,rain,2012,12
13.5,2012-12-25,5.6,2.8,4.2,snow,2012,12
4.6,2012-12-26,6.7,3.3,4.9,rain,2012,12
4.1,2012-12-27,7.8,3.3,3.2,rain,2012,12
0.0,2012-12-28,8.3,3.9,1.7,rain,2012,12
1.5,2012-12-29,5.0,3.3,1.7,rain,2012,12
0.0,2012-12-30,4.4,0.0,1.8,drizzle,2012,12
0.0,2012-12-31,3.3,-1.1,2.0,drizzle,2012,12
0.0,2013-01-01,5.0,-2.8,2.7,sun,2013,1
0.0,2013-01-02,6.1,-1.1,3.2,sun,2013,1
4.1,2013-01-03,6.7,-1.7,3.0,rain,2013,1
2.5,2013-01-04,10.0,2.2,2.8,rain,2013,1
3.0,2013-01-05,6.7,4.4,3.1,rain,2013,1
2.0,2013-01-06,7.2,2.8,3.0,rain,2013,1
2.3,2013-01-07,10.0,4.4,7.3,rain,2013,1
16.3,2013-01-08,11.7,5.6,6.3,rain,2013,1
38.4,2013-01-09,10.0,1.7,5.1,rain,2013,1
0.3,2013-01-10,3.3,-0.6,2.1,snow,2013,1
0.0,2013-01-11,2.8,-2.8,1.9,drizzle,2013,1
0.0,2013-01-12,2.8,-3.9,2.0,sun,2013,1
0.0,2013-01-13,2.2,-4.4,1.5,sun,2013,1
0.0,2013-01-14,3.3,-2.2,1.3,sun,2013,1
0.0,2013-01-15,6.7,-0.6,2.3,sun,2013,1
0.0,2013-01-16,6.1,-3.9,1.8,drizzle,2013,1
0.0,2013-01-17,3.9,-2.8,1.0,drizzle,2013,1
0.0,2013-01-18,3.3,-1.1,1.3,drizzle,2013,1
0.0,2013-01-19,1.1,-0.6,1.9,drizzle,2013,1
0.0,2013-01-20,3.3,-0.6,2.1,drizzle,2013,1
0.0,2013-01-21,2.2,-1.7,1.1,drizzle,2013,1
0.0,2013-01-22,3.3,-1.7,0.6,drizzle,2013,1
5.1,2013-01-23,7.2,2.2,3.1,rain,2013,1
5.8,2013-01-24,7.2,1.1,2.6,rain,2013,1
3.0,2013-01-25,10.6,2.8,2.1,rain,2013,1
2.3,2013-01-26,8.3,3.9,4.5,rain,2013,1
1.8,2013-01-27,5.6,3.9,4.5,rain,2013,1
7.9,2013-01-28,6.1,3.3,3.2,rain,2013,1
4.3,2013-01-29,8.3,5.0,3.9,rain,2013,1
3.6,2013-01-30,8.9,6.7,3.9,rain,2013,1
3.0,2013-01-31,9.4,7.2,4.0,rain,2013,1
0.3,2013-02-01,11.7,5.0,2.9,rain,2013,2
0.0,2013-02-02,6.1,2.8,2.0,drizzle,2013,2
2.3,2013-02-03,8.9,2.8,2.9,rain,2013,2
0.0,2013-02-04,10.6,6.7,2.6,rain,2013,2
3.3,2013-02-05,10.0,6.7,5.1,rain,2013,2
1.0,2013-02-06,10.6,6.1,4.5,rain,2013,2
1.3,2013-02-07,9.4,3.3,4.1,rain,2013,2
0.0,2013-02-08,7.8,2.2,1.3,sun,2013,2
0.3,2013-02-09,8.3,4.4,1.3,rain,2013,2
0.0,2013-02-10,8.9,1.7,2.0,drizzle,2013,2
0.3,2013-02-11,8.3,4.4,1.4,rain,2013,2
1.0,2013-02-12,11.1,7.2,5.6,rain,2013,2
2.3,2013-02-13,9.4,7.2,4.1,rain,2013,2
1.0,2013-02-14,9.4,5.6,2.2,rain,2013,2
0.0,2013-02-15,13.3,5.0,2.4,drizzle,2013,2
0.0,2013-02-16,11.1,3.9,5.6,rain,2013,2
0.0,2013-02-17,9.4,4.4,3.4,rain,2013,2
0.0,2013-02-18,7.8,3.9,1.9,rain,2013,2
0.0,2013-02-19,10.6,1.7,3.4,sun,2013,2
1.5,2013-02-20,7.8,1.1,2.1,rain,2013,2
0.5,2013-02-21,6.7,3.9,6.2,rain,2013,2
9.4,2013-02-22,7.8,3.9,8.1,rain,2013,2
0.3,2013-02-23,10.0,3.9,4.6,rain,2013,2
0.0,2013-02-24,8.9,5.0,5.5,rain,2013,2
2.3,2013-02-25,10.6,3.3,7.1,rain,2013,2
0.5,2013-02-26,8.9,3.9,3.8,rain,2013,2
4.6,2013-02-27,10.0,4.4,1.8,rain,2013,2
8.1,2013-02-28,11.7,6.7,3.8,rain,2013,2
4.1,2013-03-01,15.0,11.1,5.4,rain,2013,3
0.8,2013-03-02,13.9,5.0,4.5,rain,2013,3
0.0,2013-03-03,11.1,2.2,2.8,sun,2013,3
0.0,2013-03-04,13.3,0.0,3.9,sun,2013,3
0.0,2013-03-05,9.4,6.1,2.4,rain,2013,3
11.9,2013-03-06,7.2,5.0,4.1,rain,2013,3
7.4,2013-03-07,12.2,5.0,2.5,rain,2013,3
0.0,2013-03-08,11.7,2.2,2.6,drizzle,2013,3
0.0,2013-03-09,12.8,1.1,1.3,fog,2013,3
0.8,2013-03-10,7.8,3.9,1.6,rain,2013,3
1.3,2013-03-11,10.6,6.1,1.1,rain,2013,3
2.0,2013-03-12,12.8,10.0,5.7,rain,2013,3
2.3,2013-03-13,11.7,9.4,3.7,rain,2013,3
2.8,2013-03-14,11.7,9.4,3.0,rain,2013,3
0.0,2013-03-15,14.4,8.9,4.3,rain,2013,3
4.3,2013-03-16,10.6,4.4,6.4,rain,2013,3
0.0,2013-03-17,8.9,3.9,6.1,sun,2013,3
0.0,2013-03-18,11.7,3.9,5.9,rain,2013,3
11.7,2013-03-19,12.8,1.7,3.4,rain,2013,3
9.9,2013-03-20,11.1,4.4,7.6,rain,2013,3
